product_id,clean_name,manufacturer_id,dosage_form,pack_size,pack_unit
b6bcc984,brewers yeast facial,85,,10.0,strip
3023567a,metoprolol,86,Tablet,10.0,strip
22bdd7fb,johnsons baby wipes,3,,,
a357a19d,mera mild cleanser,87,cleanser,15.0,tube
a5d76e4d,dr fresh velocity count,3,toothpicks,,
72749c01,mario badescu drying lotion,88,lotion,1.0,ml
9da33ac9,max speak,89,solution,10.0,strip
0a40040c,nanoderma green,90,Amp,30.0,tube
743ba1af,curaprox ultra soft,91,,10.0,ml
8dfba95c,perfecta fenomen c + + under eye,3,Eye cream,,
91f6eeae,cefotalek,92,Injection,10.0,strip
7271d8bd,amoxiclavan,93,Tablet,6.0,strip
2528f15a,airflow,94,Tablet,10.0,strip
32392f27,candensive,95,Tablet,10.0,strip
aae2f2d7,pro derma sunvest spf caremal beige,3,Cream,,
b8460eb8,fenam,96,Syrup,15.0,strip
4f2e0f45,adelone,97,Eye Drop,10.0,strip
c0308f1e,polodent soft,98,toothbrush,10.0,strip
fe57a77a,aquasoft max ajanta,99,Cream,10.0,strip
1b6ce9a8,predin,100,Syrup,10.0,strip
0ffdf9a3,laro eat orange chuclota,101,Powder,,
cfcf52e4,skin lab strip slow cream,102,Cream,10.0,tube
8e4d6dd9,dosat syrup,103,Syrup,100.0,bottle
daeb7df5,folicum,26,Tablet,10.0,strip
86e4a536,valosteo glucosamine sulfate + d eff,3,effervecent tabalet,,
6984bdc5,prosteride fal,104,Tablet,10.0,strip
e8b8871e,minoxidil hair regrowth,105,,100.0,bottle
75d65cff,olopharma ml,106,Eye Drop,10.0,strip
5c7b03cc,bromhexine,107,Ampoule,10.0,strip
c01a41d5,diamicron,108,,10.0,strip
661f6ca4,mela,109,Capsule,10.0,strip
fcb917c1,hidrocil filac,110,Eye Drop,10.0,strip
62802b79,tepeimplantorthodontic,3,toothbrush,,
d81249f9,no sol for children,111,Nasal drop,10.0,tube
984b2270,biotell shampoo,112,Shampoo,60.0,bottle
9069c736,ratin,113,Cream,10.0,strip
f734b276,nutra sleep,114,Capsule,10.0,strip
8e9e8176,total sunblock cream spf hydroderm men,3,Cream,,
389cd6a7,natecal d + i u,115,Tablet,100.0,bottle
f20abe64,iramox,116,Capsule,10.0,strip
324c277d,foligain shampoo,117,Shampoo,50.0,bottle
a1310781,higeen antiseptic hand sanitizer,118,Gel,1000.0,bottle
00b809bd,alerjon,119,Eye Drop,10.0,strip
06c7f368,sweet baby m,120,mamka mzha,10.0,strip
2781f4a4,vorasan mg,121,Tablet,10.0,strip
46bf8d74,wisdom active whitening charcoal,3,Floss,,
f865c092,sifrol boehringer ingelheim,3,Tablet,,
f5ec23e9,wisdom daily gum healh,122,Toothpaste,10.0,strip
fb511ea4,tranexaz,123,Tablet,10.0,strip
1c48ff5a,zanifed capsul zahravi pharma,3,Capsule,,
2550121c,apiclof,124,drop,10.0,strip
ff0bfcc5,decozal nasal spray,125,Nasal Spray,10.0,bottle
ea4c1acc,peristil pharmaluce,126,Syrup,10.0,strip
4003d8a5,barrir,19,Cream,6.0,strip
4d96dc55,supereyes dry drops,2,Eye Drop,10.0,ml
311a67f0,omeprazole,127,Capsule,10.0,strip
b71acfbc,daktanol oral gel,128,Gel,170.0,bottle
d656f96c,filex,129,Tablet,4.0,strip
5ff58d62,growth,130,Capsule,10.0,strip
974e4f04,amoxifit,131,vial,6.0,strip
e0d8e4d9,dexamedis fort,132,Amp,10.0,strip
9602ffe7,principle c,133,Chewable Tablet,10.0,strip
54c8b891,beauty of joseon revive eye serum,3,eye serum,,
8a3e96d4,amikasan sulfate,134,Amp,30.0,tube
2c45a843,molped long,62,santi,10.0,strip
bc1f2e97,sulfi,135,Tablet,10.0,strip
75d5eda0,vitarux zinc + c+e,3,effervescent tablet,,
92df4d92,molfix large + adet,136,,10.0,strip
ea438cd5,super fertile woman,137,Capsule,5.0,strip
580e8b1f,novonorm aslli,68,,15.0,strip
0680cb07,artigen capsul renovia,3,Capsule,,
90df6518,perfect white sensitive,3,tooth paste,,
b2aac4f1,calpol infant,138,Suspension,15.0,strip
7e436789,betasam mdi m,139,ointment,10.0,strip
d9128d0a,pro derma spotvest,140,Cream,,
bd85abbb,ordinary high adherence silicone primer,3,primer,,
72d55c02,edarbyclor,141,Tablet,10.0,strip
550a45ed,fluconazole mg,142,Capsule,1.0,strip
de1021ac,azee xl,143,Syrup,3.0,strip
cadf5768,ciprofloxacin stada,144,Tablet,10.0,strip
43b451a1,german calcium+ c,145,effervecent tabalet,15.0,tube
dd31d88a,celexa,146,Tablet,10.0,strip
833008b8,atropine unimed,147,Eye Drop,10.0,strip
463a8497,science oily seborrhea shampoo,148,Shampoo,50.0,bottle
54a229fe,cofspan syrup,138,Syrup,30.0,bottle
7f0e2951,testohance male,149,,5.0,gm
4a4a5081,benzoyl,150,Gel,1.0,strip
d2b2b9ae,fun time gin & tonic,151,lubricant,,
22540959,white now,16,tooth paste,100.0,units
728406a6,novaclear urban sunblock spf + sensitive skin,3,sunscreen,,
35e2d37a,anivagene aqua med purifying cleansing gel,3,Cleansing gel,,
8a1b488a,wales hand sanitizer caty,3,gel,,
cfc2aacb,loratin mg,96,Tablet,10.0,strip
161b53ba,salospir,152,Tablet,10.0,strip
ee1e3a1e,klamoks fort,132,Suspension,10.0,strip
0971bc7b,azithromyine,153,Tablet,3.0,strip
22f03ee1,s a d,154,gerawa,10.0,strip
29babc95,telmodep mg,155,Tablet,10.0,strip
1f76a381,mobic,156,Tablet,10.0,strip
418afdb8,betasalek,157,Lotion,10.0,strip
e378cdd1,matrivir +softgel,158,softgel,,
f93b7b9d,cantabria neoretin disc serum b fluid,3,serum,,
ef61411a,humira ml turkey,159,Syrnge,10.0,strip
f1a85a4f,clotrilin,117,solution,6.0,strip
21499290,similac total comfort abbott,3,,,
e75add29,meditopics vette huid,3,Cream,,
c51c348c,calypso kids spf +,160,lotion,60.0,bottle
eecdb9eb,dermoyat ointment,138,ointment,25.0,tube
dde6afa2,noreva bergasol expert cream invisible finish spf,3,Cream,,
c88fef57,glycerine moisturising,99,soap,100.0,tube
c80b67e0,biotell,161,,10.0,strip
af4785cc,always optimist brume en,3,Spray,,
c4d36e87,holder hygienic health care,3,cleanser,,
983af93a,chewable c,162,Tablet,,
ed235abb,male order eyeshadow palette,3,Infusion,,
f5083b3d,benzoyl gel coral,163,gel,30.0,tube
b656a3b7,uveblock spf dry touch ml,164,Cream,30.0,bottle
6ae15f2f,imidin n,165,Nasal Spray,10.0,strip
88b226be,kalium citrate sanvista,166,effervecent tabalet,20.0,tube
95e1d25c,neuroplex,167,Capsule,10.0,strip
c69b72c9,norditropin,168,,10.0,strip
2e393320,"timoglau , ,",99,Eye Drop,10.0,strip
1db3664a,sensodyne rapid rychla uleva whitening,3,tooth paste,,
7aef7793,electric breast pump,169,machine,10.0,strip
b7990dd0,vaseline gauze cm* cm,117,plaster,10.0,strip
4cc1e9a7,glotac,170,Tablet,10.0,strip
ae062a46,tenormin,162,Tablet,14.0,strip
7ad5b858,bronchicum,171,elixir,10.0,strip
3d75112b,diclosan,172,,10.0,strip
6c5a4ef3,tea tree facial scrub,3,Cream,,
06c05028,rhophylac,173,Injection,10.0,strip
